Event Description,Cause Analysis,Corrective Actions,Corrective Actions Description
DURING THE m cubeONTHLY CHECK TO ALL TALK BACK WE FOUND A m cubeALFUNCTION IN ALL THE SYSTEm cube. AFTER AN VERIFICATION BY STAFF ETO FOUND THE POWER SUPPLY ALL THE SYSTEm cube OFF.,Equipm cubeent Difficulty,Other Corrective Action,NEED SPARE POWER SUPPLY
DURING THE m cubeONTHLY CHECK TO ALL TALK BACK WE FOUND A m cubeALFUNCTION IN ALL THE SYSTEm cube. AFTER AN VERIFICATION BY STAFF ETO FOUND THE POWER SUPPLY ALL THE SYSTEm cube OFF.,Other,Other Corrective Action,NEED SPARE POWER SUPPLY
On 20-Oct-2019 at 0900hrs m cubeagnet trap was observed to have a sm cubeall am cubeount of non-food item cubes. The non-food item cubes included 3 x Bottle Cap 3 x Screw 2 m cubeetal pieces hairpin 1 x fork 1 x nam cubee tag m cubeagnet etc. All the non-food item cubes were rem cubeoved from cube the m cubeagnet trap and properly disposed of. The source of the non-food item cubes is not possible to be determ cubeined. The responsible departm cubeents have been inform cubeed accordingly to increase the supervision in their areas. An entry is done in the NAPA log.,Other,Other Corrective Action,All non food item cubes were rem cubeoved from cube m cubeagnetic trap and disposed properly.
"This is to inform cube you that during the Weekly inspection of Food Waste System cube and Grease Separator Tanks today below findings are observed.
Inspected on 10/20/2019 from cube 08:45 Am cube to 09:20 Am cube
Food Waste Tank  A 
Findings :   None.
Food Waste Tank  B 
Findings : A m cubeetal coin.
Grease Separator Tank (Fwd) 
Findings : A piece of rubber pipe from cube bulk m cubeilk dispenser two fruit sticker and a paper label.  
Grease Separator Tank (Aft) 
Findings : A bottle seal and a sm cubeall piece of plastic
Due to the nature of the ships system cube it is not possible to identify the source of the item cubes found in the system cube.
Corrective Actions :
All non-food waste item cubes were rem cubeoved and discarded in appropriate bins
Tanks to be kept out of service and to be cleaned. 
m cubeatter was discussed with m cubeanagem cubeent present there for Inspection.
Incident was reported to the Environm cubeental Com cubepliance Director .
Incident was recorded in NAPA E.Log.",Disregard for Com cubepany Procedures / Policies,Other Corrective Action,All non-food waste item cubes were rem cubeoved and discarded in appropriate bins. Tank to be kept out of service and to be cleaned.
During weekly inspection of the Food Waste Collecting Tank and m cubeagnet Trap required by ENV/07/2019 som cubee non food item cubes were found inside m cubeagnetic trap. Item cubes found are: 1 bottle cap and 8 unidentified very sm cubeall m cubeetal pieces. Due to the nature of the ships system cube it is not possible to identify the source of the item cubes found in the system cube. The item cubes were rem cubeoved and disposed in the appropriated receptacles.,Other,Other Corrective Action,Checking for presence of non-food item cubes. Any non food item cubes found is correctly rem cubeoved and disposed as garbage. Grease Traps cleaned.
"On October 23 2019 at approxim cubeately at 11:30 am cube while at sea in international waters a leakage of NON-ODS refrigerant gas R-407c was detected in the provision chill system cube com cubeing from cube a fridge (Up-Right fridge 3PA-17 located on Dk 3 PS) by the m cubeain galley appetizer.
The leakage was detected by expansion valve (liquid line). Root cause: cracking due to ship vibration. 
To prevent any further loss of refrigerant all valves were closed.
The expansion valve has been replaced with a new one the line was then vacuum cube and pressure-tested for leakages with negative result.
The system cube is back in service since 3:00 pm cube. The provision chill system cube was refilled with 3112 Kg of refrigerant R407c (6 Cylinders) to achieve the norm cubeal gas level. System cube capacity 1200 Kg. Leak is >10 %. 
Preventive Actions: leaks inspections conducted regularly.
Event will be reported and recorded in the NAPA log. 
Ship's RRB is currently included in NAPA log as well and will be updated for the sam cubee.",Other,Elim cubeination/Substitution,All valves were closed to prevent further losses. The dam cubeaged expansion valve has been replaced with a new one.
On 25 Oct 2019 At 08:30 it's brought to m cubey attention that an overflow of Sewage from cube m cubeSD # 5 to bilge occurred due to failure of transfer pum cubep. By the end of the day at 17:30 hrs a total of 14.4 m cube3 of bilge was collected in Drum cubes and the sam cubee has been transferred to Sludge for shore side disposal.,Other,Other Corrective Action,(1) Dir. Env. Com cubepliance Notified by Chief Engineer ( 2)  Pum cubeped in to drum cubes and transferred to Sludge Tank thereafter. ( 2) Corresponding entries in the Portable Pum cubep Log & ORB m cubeade.
"- Ship Nam cubee       : Carnival GLORY 
- Date of event    : 26 Oct  2019.
- Tim cubee of Event   : 10: 10 LT ( 15: 10 Gm cubeT ).
- Location           : At Sea  International Water.
- Description      : During the weekly inspection in below m cubeentioned areas the following observations were m cubeade.
(i)	m cubeagnetic Trap  -  9 x Bottle Crown Caps 3 x m cubeetal Stirrer 1x Soup Spoon 1x Table Knife 1x Hair pin 1x Safety Pin.         
( Source of Item cubes :-  due to the nature of the ships system cube it is not possible to identify the source of the item cubes found in the system cube)
(ii)	Food Waste Tank                 None.
(iii)	Crew Galley Grease Traps   None.
(iv)	m cubeain Galley Grease Traps    None.
 Corrective Action :(1) Dir. Env. Com cubepliance Notified (2) All these item cubes were rem cubeoved and disposed off properly.(3)  NAPA entry m cubeade.
- Preventive Action  :  Hotel Director Food Ops. m cubeanager Beverages Ops. m cubeanager&  Ass. Food Ops m cubeanager  were present  and has agreed to address these findings with their respective team cubes.
- Root Cause   :Poor Segregation in the point of origin.",Other,Other Corrective Action,(1) Dir. Env. Com cubepliance Notified (2) All these item cubes were rem cubeoved and disposed off properly.(3) NAPA entry m cubeade.
whilst OWS in operation we observed three way solenoid valve was slightly cause water leaking therefore solenoid valve was replaced with new one. ORB entry was m cubeade for sam cubee,Other,Other Corrective Action,three way solenoid valve was replaced
"On October 27th 2019 at around 02:15 P.m cube. while at sea sailing from cube Port Canaveral to Am cubeber Cove - during the weekly inspection of Food Waste System cubes som cubee non-food item cubes including: 8 x bottle crown 2 x alum cubeinum cube can tab 4 x m cubeetal stirrer1 x spoon 1 x m cubeetal clip 2 x safety pin 3 x hair clip several pieces of broken china and glass - were found inside the food waste trap tank and m cubeagnetic cutlery traps. A non quantifiable am cubeount of non food item cubes was rem cubeoved and properly disposed. It is not confirm cubeed that item cubes definitively went overboard.
Refer to the attached photos NAPA E log entry and respective com cubem cubeunication to Director Environm cubeental (CCL) and other respective shipboard/shore side personnel.",Other,Other Corrective Action,The above m cubeentioned equipm cubeent (m cubeagnetic cutlery traps and Food waste Trap tank) were cleaned and all non food item cubes were rem cubeoved and properly disposed avoiding a potential discharge overboard.
"On the 27th October 2019 around 10:45am cube while the ship was sailing in international water a Refrigerant Leak R407C (NON ODS) on the AC Com cubepressor #1 was reported. Leak has been found on the fitting sigh glass on the condenser. The leak was im cubem cubeediately stopped by the isolation valves and  cracked fitting  and loose fitting  was fixed im cubem cubeediately This is caused by  vibration and therm cubeal shock on fitting.
The System cube has been refilled with 5 Cylinders of R407C.
Unit has been checked for other leaks  no leaks present.  
 Total  Am cubeOUNT   Refilled               252      Kg.
Napa log and RRB attached.",Other,Other Corrective Action,The leak was im cubem cubeediately stopped by the isolation valves and cracked fitting and loose fitting was fixed im cubem cubeediately
"While ship was at anchor in Grand Caym cubean and was ready to depart with SBE at 14:43
Pm cube.
D/G #6 was started for m cubeaneuvering  and sam cubee tim cubee Black Soot cam cubee out on Port side
aft of the ship from cube AAQS and m cubeake a sheen on the water( see attached photos) and this incident was observed by Bridge team cube.
EO was notified by Bridge team cube and after investigation it was confirm cubeed that black soot
cam cubee out from cube D/G #6.
As per discussion with Chief Eng he said When we start engine with AAQS som cubee tim cubee just for few sec we can see discoloration of water or soot.
This incident was reported to Grand Caym cubean Port Authority via Ship Agent.
The incident has been reported also to Director of Env. Com cubepliance Lobo Benton.
Incident has been recorded in NAPA E-Log",Other,,
